ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
ERA15LA238,1,6/14/2015,6,Sunday,401718N,0763453W,Palmyra,PA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOLI,ICL
GAA15CA122,1,6/14/2015,6,Sunday,444635N,0914431W,Elk Mound,WI,USA,0,0,NONE,SUBS,137 ,HELI,AAPL,OTHR,TOF
CEN15LA270,1,6/10/2015,6,Wednesday,354954N,0903847W,Jonesboro,AR,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-PP,ENR
GAA15CA125,1,6/6/2015,6,Saturday,423346N,0922407W,Waterloo,IA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-NP,TOF
ERA15LA240,1,6/14/2015,6,Sunday,333332N,0861457W,Pell City,AL,USA,0,0,NONE,SUBS,137 ,AIR ,AAPL,ARC,LDG
ANC15CA039,1,6/13/2015,6,Saturday,605016N,1431254W,McCarthy,AK,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
ANC15CA040,1,6/14/2015,6,Sunday,602831N,1510228W,Soldotna,AK,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-I,TOF
GAA15CA124,1,5/29/2015,5,Friday,435230N,1212713W,Sunriver,OR,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
CEN15CA274,1,6/14/2015,6,Sunday,413626N,0880515W,Romeoville,IL,USA,0,0,NONE,SUBS,091 ,HELI,INST,ARC,LDG
CEN15LA275,1,6/10/2015,6,Wednesday,381757N,1043014W,Pueblo,CO,USA,0,0,NONE,SUBS,091 ,AIR ,INST,ARC,LDG
ERA15CA243,1,6/17/2015,6,Wednesday,311360N,0844500E,Moreland,GA,USA,0,0,NONE,SUBS,091 ,AIR ,INST,FUEL,APR
CEN15LA276,1,6/4/2015,6,Thursday,302117N,0921557E,Branch,LA,USA,0,0,NONE,SUBS,137 ,AIR ,AAPL,LOLI,ICL
CEN15FA278,1,6/19/2015,6,Friday,323217N,0934447W,Shreveport,LA,USA,1,0,FATL,SUBS,091 ,AIR ,PERS,LOC-I,TOF
