PCA_1,PCA_2,ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
0.507262051,-0.297559106,CEN15FA378,1,8/21/2015,8,Friday,391514N,0874754W,Martinville,IL,USA,1,0,FATL,SUBS,91,AIR ,PERS,LOC-I,MNV
-0.902156902,-0.323953835,CEN15LA381,1,8/23/2015,8,Sunday,423956N,0832513W,Pontiac,MI,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
-0.594509135,-0.211042998,GAA15CA236,1,8/24/2015,8,Monday,312052N,0922636W,Pineville,LA,USA,0,0,NONE,SUBS,91,AIR ,PERS,RE,LDG
0.93121202,-0.723374262,ERA15FA325,1,8/26/2015,8,Wednesday,283129N,0804542W,Titusville,FL,USA,1,0,FATL,DEST,91,AIR ,PERS,LOC-I,APR
0.778829302,0.779110658,CEN15LA383,1,8/20/2015,8,Thursday,474715N,0995610W,Harvey,ND,USA,0,0,NONE,SUBS,137,AIR ,AAPL,SCF-PP,ENR
-0.751052639,0.859833974,GAA15CA237,1,8/23/2015,8,Sunday,395032N,0835019W,Springfield,OH,USA,0,0,NONE,SUBS,91,AIR ,INST,ARC,LDG
0.897980976,0.075864934,ERA15FA326,1,8/27/2015,8,Thursday,460603N,0674816W,Houlton,ME,USA,1,0,FATL,DEST,91,AIR ,BUS ,CFIT,APR
0.261726553,-0.368671175,WPR15LA251,1,8/27/2015,8,Thursday,373043N,1221458W,San Carlos,CA,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-PP,ICL
0.366142567,-0.433535104,ERA15FA330,1,8/27/2015,8,Thursday,331001N,0864641W,Alabaster,AL,USA,1,0,FATL,SUBS,91,AIR ,PERS,LOC-I,APR
0.654052778,-0.600447357,CEN15FA386,1,8/27/2015,8,Thursday,421841N,0851443W,Battle Creek,MI,USA,1,0,FATL,DEST,91,AIR ,PERS,SCF-NP,TOF
-0.345666773,-0.238222427,GAA15CA239,1,8/26/2015,8,Wednesday,402234N,1203418W,Susanville,CA,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-I,LDG
0.270109617,-0.588841349,ERA15CA327,1,8/22/2015,8,Saturday,264815N,0800159W,Riviera Beach,FL,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-PP,ENR
0.359370884,0.227938125,ERA15LA328,1,4/10/2015,4,Friday,222500N,0744960W,Caribbean Sea,CB,UN,0,0,NONE,SUBS,91,AIR ,POSI,SCF-NP,ENR
-0.867374563,-0.031706385,ERA15CA329,1,8/26/2015,8,Wednesday,425519N,0783643W,Lancaster,NY,USA,0,0,NONE,SUBS,91,AIR ,PERS,ARC,LDG
